...1,url,languageCode,publisher.name,publisher.site,reviewDate,text,claimDate,claimant_party,reason,claimYear,Fear,Self/Personal Record,Opponent/Opponent's Record,Legislation,National and State Macroeconomic Issues,Economic Well-Being and Domestic Commerce,Labor and Employment,Foreign Trade,Taxes,"Civil Rights, Minority Issues, and Civil Liberties",Immigration and Refugee Issues,LGBTQ,Race,Religion,Women,Health (non-care),Social Welfare,Education,Abortion,Healthcare,Government Operations,Defense/Military,International_affairs and Foreign Aid,Voting/Elections,Agriculture,Environment,Energy,Transportation,Community Development and Housing,Technology Science Space,Media and Communications,Law and Crime and Policing,Terrorism,Guns,History,Record/Candidate Biography/ Campaigns and Personal Behavior,textualRating,claimant,location,location.extra,title
6138,http://www.politifact.com/factchecks/2016/mar/30/pat-mccrory/pat-mccrory-wrong-when-he-says-north-carolinas-new/,en,PolitiFact,politifact.com,2016-03-31T19:12:17Z,We have not taken away any rights that have currently existed in any city in North Carolina' with the passage of HB2.,2016-03-28T00:00:00Z,Republican,NA,2016,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,False,Pat McCrory,Speech/Remarks,Unspecified,Pat McCrory is wrong when he says North Carolina's new LGBT law doesn't take away existing rights
4170,http://www.politifact.com/factchecks/2016/apr/12/barack-obama/barack-obama-says-wind-power-cheaper-texas-power-d/,en,PolitiFact,politifact.com,2016-04-13T13:44:27Z,Right now; here in Texas; wind power is already cheaper than dirty fossil fuels.',2016-03-12T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True,Barack Obama,Speech/Remarks,Campaign,Barack Obama says wind power cheaper in Texas than power from 'dirty fossil fuels'
5980,http://www.politifact.com/factchecks/2016/apr/12/hillary-clinton/look-hillary-clintons-claim-about-vermonts-gun-pip/,en,PolitiFact,politifact.com,2016-04-13T13:59:06Z,The state with the highest per capita number of guns used in New York crimes is Vermont.,2016-04-11T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half True,Hillary Clinton,Speech/Remarks,Unspecified,A look at Hillary Clinton's claim about Vermont's gun pipeline to New York
6947,http://www.politifact.com/factchecks/2016/apr/13/tammy-baldwin/testing-tammy-baldwin-claim-taxes-hedge-fund-manag/,en,PolitiFact,politifact.com,2016-04-13T14:13:21Z,Hedge fund managers and others in private equity pay much lower income tax rates than truck drivers; teachers and nurses.,2016-02-14T00:00:00Z,Democratic,NA,2016,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,False,Tammy Baldwin,TV Appearance,Regional Station,Testing Tammy Baldwin claim on taxes for hedge fund managers vs. truck drivers
4657,http://www.politifact.com/factchecks/2016/apr/12/ted-cruz/ted-cruz-repeats-mostly-false-claim-about-polls-sh/,en,PolitiFact,politifact.com,2016-04-13T14:15:54Z,The polling shows over and over again that; unlike Donald Trump; that with me as the nominee; we beat Hillary Clinton.',2016-04-11T00:00:00Z,Republican,NA,2016,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mostly False,Ted Cruz,Speech/Remarks,Campaign,Nope. Most polls still don't show Ted Cruz beating Hillary Clinton in November
7133,http://www.politifact.com/factchecks/2016/apr/12/patrick-murphy/patrick-murphy-praises-floridas-payday-law-stronge/,en,PolitiFact,politifact.com,2016-04-13T14:19:12Z,Florida’s regulations on the payday lending industry are 'stronger than almost any other state.',2016-04-06T00:00:00Z,Democratic,NA,2016,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,False,Patrick Murphy,Interview,,Patrick Murphy praises Florida's payday law as 'stronger than almost any other state'
5017,http://www.politifact.com/factchecks/2016/apr/07/bernie-s/bernie-sanders-not-qualified-be-president-hillary-/,en,PolitiFact,politifact.com,2016-04-13T14:20:14Z,Says Hillary Clinton 'has been saying lately that she thinks that I am; 'not qualified to be president.' ',2016-04-06T00:00:00Z,Democratic,NA,2016,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mostly False,Bernie Sanders,Speech/Remarks,Unspecified,Did Hillary Clinton say Bernie Sanders 'not qualified' to be president? Not directly
3418,http://www.politifact.com/factchecks/2016/apr/04/bernie-s/bernie-sanders-says-wall-street-tax-would-pay-his-/,en,PolitiFact,politifact.com,2016-04-13T14:22:26Z,Says his free public university tuition program 'is paid for … by a tax on Wall Street's speculation.',2016-03-30T00:00:00Z,Democratic,NA,2016,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mostly False,Bernie Sanders,TV Appearance,CNN,Bernie Sanders says Wall Street tax would pay for his free tuition plan
6335,http://www.politifact.com/factchecks/2016/apr/12/ted-cruz/ted-cruz-ad-revisits-controversy-kasichs-governors/,en,PolitiFact,politifact.com,2016-04-13T14:26:40Z,Says a company that got tax breaks from the state later 'laid off 100 Ohioans; even as its CEO cut a half-million-dollar check to Kasich’s super PAC.',2016-04-03T00:00:00Z,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Ted Cruz,Advertisement,,Ted Cruz ad revisits a controversy from Kasich's governorship of Ohio
2766,http://www.politifact.com/factchecks/2016/mar/24/bernie-s/tufts-university-study-has-bernies-back-trans-paci/,en,PolitiFact,politifact.com,2016-04-13T14:27:34Z,"The Trans-Pacific trade deal could cost America 448,000 more jobs.",2016-03-15T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half True,Bernie Sanders,Advertisement,,Bernie Sanders' ad says Trans-Pacific Partnership could cost 448;000 jobs
2133,http://www.politifact.com/factchecks/2016/mar/07/bernie-s/flint-residents-dont-pay-3-times-much-burlington-r/,en,PolitiFact,politifact.com,2016-04-13T14:29:07Z,(Flint; Mich.; is) paying three times more for poison water than I am paying in Burlington; Vt.; for clean water.',2016-03-06T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Bernie Sanders,Debate,Election Debate,Bernie Sanders has a point: Water in Flint much more expensive than in Burlington
7252,http://www.politifact.com/factchecks/2016/apr/11/ted-cruz/national-surveys-show-ted-cruz-isnt-beating-hillar/,en,PolitiFact,politifact.com,2016-04-13T14:30:20Z,Poll after poll after poll shows me beating Hillary.',2016-04-07T00:00:00Z,Republican,NA,2016,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mostly False,Ted Cruz,TV Appearance,CNN,National surveys show Ted Cruz isn't beating Hillary Clinton in poll after poll after poll
4377,http://www.politifact.com/factchecks/2016/apr/06/hillary-clinton/does-economy-always-do-better-under-democratic-pre/,en,PolitiFact,politifact.com,2016-04-13T14:30:54Z,The economy always does better when there’s a Democrat in the White House.',2016-03-21T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half True,Hillary Clinton,Speech/Remarks,Campaign,Does the economy always do better under Democratic presidents?
4974,http://www.politifact.com/factchecks/2016/apr/05/hillary-clinton/does-clinton-really-have-25-million-more-votes-san/,en,PolitiFact,politifact.com,2016-04-13T14:32:50Z,I have 2 and a half million more votes than he (Sanders) does.',2016-04-05T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Hillary Clinton,TV Appearance,ABC,Does Clinton really have 2.5 million more votes than Sanders?
7738,http://www.politifact.com/factchecks/2016/apr/03/hillary-clinton/hillary-clinton-i-have-now-put-out-all-my-emails/,en,PolitiFact,politifact.com,2016-04-13T14:34:12Z,I have now put out all of my emails.',2016-04-03T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half True,Hillary Clinton,TV Appearance,NBC,Hillary Clinton spins on 'Meet the Press;' says she put out all her emails
6110,http://www.politifact.com/factchecks/2016/mar/21/hillary-clinton/hillary-clinton-says-her-campaign-depends-small-do/,en,PolitiFact,politifact.com,2016-04-13T14:37:13Z,Our campaign depends on small donations for the majority of our support.',2016-03-15T00:00:00Z,Democratic,NA,2016,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mostly False,Hillary Clinton,Speech/Remarks,Campaign,Hillary Clinton says her campaign 'depends on small donations for the majority of our support'
1618,http://www.politifact.com/factchecks/2016/mar/11/hillary-clinton/hillary-clinton-ad-points-out-its-been-15-years-am/,en,PolitiFact,politifact.com,2016-04-13T14:38:23Z,Americans haven’t had a raise in 15 years.',2016-02-20T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Hillary Clinton,Advertisement,,Hillary Clinton ad points out it's been 15 years since Americans had a raise
6690,http://www.politifact.com/factchecks/2016/apr/13/jan-brewer/former-arizona-gov-jan-brewer-claims-states-immigr/,en,PolitiFact,politifact.com,2016-04-13T17:33:37Z,Senate Bill 1070; simply; just mirrors federal law.',2016-03-28T00:00:00Z,Republican,NA,2016,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mostly False,Jan Brewer,TV Appearance,FOX,Former Arizona Gov. Jan Brewer claims state's immigration law 'mirrors' federal law
1775,http://www.politifact.com/factchecks/2016/apr/13/bernie-s/does-hillary-clinton-support-fracking/,en,PolitiFact,politifact.com,2016-04-13T21:24:29Z,Says Hillary Clinton supported and continues to 'support fracking.',2016-04-10T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Bernie Sanders,TV Appearance,NBC,Does Hillary Clinton support fracking?
2472,http://www.politifact.com/factchecks/2016/apr/14/bernie-s/bernie-sanders-says-hes-one-poorer-members-united-/,en,PolitiFact,politifact.com,2016-04-15T02:40:47Z,I remain one of the poorer members of the United States Senate.',2016-04-14T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Bernie Sanders,Debate,Election Debate,Bernie Sanders says he's 'one of the poorer members of the United States Senate'
7297,http://www.politifact.com/factchecks/2016/apr/14/hillary-clinton/new-york-debate-clinton-says-us-has-higher-account/,en,PolitiFact,politifact.com,2016-04-15T02:42:05Z,We have tougher standards holding toy gun manufacturers and sellers to account than we do for real guns.',2016-04-14T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half True,Hillary Clinton,Debate,Election Debate,At New York debate; Clinton says US has higher accountability standards for toy guns than real guns
7147,http://www.politifact.com/factchecks/2016/apr/17/pat-mccrory/nc-gov-pat-mccrory-defends-hb2-meet-press/,en,PolitiFact,politifact.com,2016-04-17T23:10:05Z,The city of Charlotte passed a bathroom ordinance mandate on every private-sector employer in Charlotte.',2016-04-17T00:00:00Z,Republican,NA,2016,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mostly False,Pat McCrory,TV Appearance,NBC,NC Gov. Pat McCrory defends HB2; says it would have affected every private employer in Charlotte
2172,http://www.politifact.com/factchecks/2015/sep/21/carly-fiorina/trumps-four-bankruptcies/,en,PolitiFact,politifact.com,2016-04-18T13:59:55Z,Says Donald Trump was 'forced to file for bankruptcy not once; not twice; four times.',2015-09-16T00:00:00Z,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Carly Fiorina,Debate,Election Debate,Fact-checking claims about Donald Trump's four bankruptcies
4309,http://www.politifact.com/factchecks/2015/jun/22/barack-obama/barack-obama-correct-mass-killings-dont-happen-oth/,en,PolitiFact,politifact.com,2016-04-18T14:06:09Z,This type of mass violence does not happen in other advanced countries ... with this kind of frequency.',2015-06-18T00:00:00Z,Democratic,NA,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Mostly False,Barack Obama,Speech/Remarks,Unspecified,From Politifact: 'Is Barack Obama correct that mass killings don't happen in other countries?'
914,http://www.politifact.com/factchecks/2016/apr/15/bernie-s/does-hillary-clinton-want-15-or-12-minimum-wage/,en,PolitiFact,politifact.com,2016-04-18T14:53:07Z,Said he has campaigned to raise the minimum wage to $15 an hour. 'Secretary Clinton said; let's raise it to $12.',2016-04-14T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Bernie Sanders,Debate,Election Debate,Does Hillary Clinton want a $15 or $12 minimum wage?
1264,http://www.politifact.com/factchecks/2015/oct/15/jim-webb/15-20-most-polluted-cities-world-are-india-china-s/,en,PolitiFact,politifact.com,2016-04-18T18:10:51Z,Fifteen out of the 20 most polluted cities in the world' are in India and China.,2015-10-13T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Jim Webb,Debate,Election Debate,15 of 20 most polluted cities in world are in India; China; says Jim Webb
3839,http://www.politifact.com/factchecks/2015/dec/20/bernie-s/fact-checking-bernie-sanders-claim-us-spends-three/,en,PolitiFact,politifact.com,2016-04-18T18:20:25Z,The United States spends 'almost three times per capita what they spend in the U.K.' on health care and '50 percent more than they pay in France.',2015-12-19T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True,Bernie Sanders,Debate,Election Debate,Fact-checking Sanders' claim that US spends 3 times per capita what the UK spends on health care
2418,http://www.politifact.com/factchecks/2015/oct/09/ben-carson/ben-carson-says-mahmoud-abbas-ali-khamenei-vladimi/,en,PolitiFact,politifact.com,2016-04-19T15:47:36Z,Says Mahmoud Abbas; Ali Khamenei; Vladimir Putin met each other 'in the class of 1968 at Patrice Lumumba University in Moscow.',2015-10-08T00:00:00Z,Republican,NA,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Pants on Fire,Ben Carson,TV Appearance,CNN,Ben Carson says Mahmoud Abbas; Ali Khamenei; Vladimir Putin knew each other in 1968 Moscow
2514,http://www.politifact.com/factchecks/2016/apr/19/bernie-s/sanders-largely-base-saying-we-win-when-voter-turn/,en,PolitiFact,politifact.com,2016-04-19T15:53:00Z,We win when voter turnout is high; we lose when it is low.',2016-04-12T00:00:00Z,Democratic,NA,2016,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mostly False,Bernie Sanders,Speech/Remarks,Campaign,Sanders largely off-base in saying he wins when voter turnout is high and loses when it's low
4152,http://www.politifact.com/factchecks/2016/apr/19/doug-ducey/are-90-percent-fires-arizona-caused-humans/,en,PolitiFact,politifact.com,2016-04-19T16:07:33Z,90 percent of fires in Arizona are human-caused.',2016-04-13T00:00:00Z,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half True,Doug Ducey,Speech/Remarks,Press Event,Are 90 percent of fires in Arizona caused by humans?
5304,http://www.politifact.com/factchecks/2016/apr/19/bernie-s/sanders-oversimplifies-us-share-NATO/,en,PolitiFact,politifact.com,2016-04-19T17:26:25Z,We spend about 75 percent of the entire cost of the military aspect of NATO.',2016-04-14T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half True,Bernie Sanders,Debate,Election Debate,Sanders oversimplifies US share of NATO
4146,http://www.politifact.com/factchecks/2016/apr/19/corey-lewandowski/donald-trump-manager-corey-lewandowski-botches-cla/,en,PolitiFact,politifact.com,2016-04-19T22:38:46Z,The chairman of the party of Florida; who is an avid and outward supporter of Marco Rubio; gets to appoint 30 of those delegates.',2016-04-17T00:00:00Z,Republican,NA,2016,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,False,Corey Lewandowski,TV Appearance,FOX,Donald Trump manager Corey Lewandowski botches claim on Florida delegate selection
2611,http://www.politifact.com/factchecks/2016/apr/20/bernie-s/bernie-sanders-ad-ignores-fact-members-congress-ca/,en,PolitiFact,politifact.com,2016-04-19T23:04:46Z,Washington politicians are paid over $200;000 an hour for speeches.',2016-04-15T00:00:00Z,Democratic,NA,2016,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mostly False,Bernie Sanders,Advertisement,,Bernie Sanders ad ignores fact that members of Congress can't be paid for speeches
5378,http://www.politifact.com/factchecks/2016/apr/21/hillary-clinton/hillary-clinton-history-shows-win-bernie-sanders/,en,PolitiFact,politifact.com,2016-04-21T21:21:19Z,When I withdrew in June of 2008; polls were showing that at least 40 percent of my supporters said; oh; they weren't going to support Sen. Obama.',2016-04-21T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Hillary Clinton,Public Event,,Hillary Clinton says history shows she can win over Bernie Sanders supporters
6405,http://www.politifact.com/factchecks/2016/apr/21/ben-carson/andrew-jackson-debt-balanced-budget-president/,en,PolitiFact,politifact.com,2016-04-21T21:58:36Z,Andrew Jackson was the last president who actually balanced the federal budget; where we had no national debt.',2016-04-20T00:00:00Z,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Ben Carson,TV Appearance,FOX,Was Andrew Jackson the only US president to bring national debt to zero?
4217,http://www.politifact.com/factchecks/2016/apr/21/pat-mccrory/nc-gov-pat-mccrory-under-fire-hb2-says-human-right/,en,PolitiFact,politifact.com,2016-04-21T23:27:14Z,The Human Rights Campaign is 'more powerful than the NRA',2016-04-17T00:00:00Z,Republican,NA,2016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,False,Pat McCrory,TV Appearance,NBC,NC Gov. Pat McCrory; under fire on HB2; says Human Rights Campaign is 'more powerful than the NRA'
5060,http://www.politifact.com/factchecks/2015/oct/28/chris-christie/chris-christie-says-bernie-sanderss-plan-raise-you/,en,PolitiFact,politifact.com,2016-04-22T14:14:05Z,Bernie Sanders’ plan is 'to raise your taxes to 90 percent.',2015-10-28T00:00:00Z,Republican,NA,2015,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Pants on Fire,Chris Christie,Debate,Election Debate,Chris Christie says Bernie Sanders's plan is 'to raise your taxes to 90 percent'
5994,http://www.politifact.com/factchecks/2016/apr/22/robby-mook/hillary-clinton-gets-02-percent-campaign-donations/,en,PolitiFact,politifact.com,2016-04-22T17:59:51Z,In last week’s debate; Bernie questioned Hillary’s commitment to fighting climate change because a whopping 0.2 percent of the money given to our campaign has come from employees of oil and gas companies. Not even 2 percent; mind you: 0.2 percent.',2016-04-19T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Robby Mook,Written Statement,,Hillary Clinton gets 0.2 percent of campaign donations from oil; gas employees; Robby Mook says
3765,http://www.politifact.com/factchecks/2016/apr/24/bob-graham/bob-graham-saudi-arabia-created-al-qaida/,en,PolitiFact,politifact.com,2016-04-24T22:21:58Z,We know that Saudi Arabia started al-Qaida.',2016-04-24T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half True,Bob Graham,TV Appearance,NBC,Former US Sen. Bob Graham's claim that Saudi Arabia created al-Qaida lacks nuance
1114,http://www.politifact.com/factchecks/2016/apr/25/rick-scott/gov-rick-scotts-claim-about-1-billion-tax-cuts-nee/,en,PolitiFact,politifact.com,2016-04-25T19:46:06Z,Over the past two years; Florida has cut more than $1 billion in taxes.',2016-04-13T00:00:00Z,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Rick Scott,Written Statement,Press Release,Gov. Rick Scott's claim about $1 billion in tax cuts needs some background
